Grade,Day,Section,Time Slot,Subject,Teacher
2,Monday,A,9:00am - 11:00am,English,T9
2,Monday,A,11:00am - 1:00pm,Math,T10
2,Monday,A,1:00pm - 3:00pm,Science,T11
2,Monday,A,3:00pm - 5:00pm,History,T12
2,Monday,B,9:00am - 11:00am,Science,T11
2,Monday,B,11:00am - 1:00pm,History,T12
2,Monday,B,1:00pm - 3:00pm,English,T9
2,Monday,B,3:00pm - 5:00pm,Math,T10
2,Tuesday,A,9:00am - 11:00am,Art,T13
2,Tuesday,A,11:00am - 1:00pm,Language,T14
2,Tuesday,A,1:00pm - 3:00pm,PE,T15
2,Tuesday,A,3:00pm - 5:00pm,Music,T16
2,Tuesday,B,9:00am - 11:00am,PE,T15
2,Tuesday,B,11:00am - 1:00pm,Music,T16
2,Tuesday,B,1:00pm - 3:00pm,Art,T13
2,Tuesday,B,3:00pm - 5:00pm,Language,T14
2,Wednesday,A,9:00am - 11:00am,English,T9
2,Wednesday,A,11:00am - 1:00pm,Math,T10
2,Wednesday,A,1:00pm - 3:00pm,Science,T11
2,Wednesday,A,3:00pm - 5:00pm,History,T12
2,Wednesday,B,9:00am - 11:00am,Science,T11
2,Wednesday,B,11:00am - 1:00pm,History,T12
2,Wednesday,B,1:00pm - 3:00pm,English,T9
2,Wednesday,B,3:00pm - 5:00pm,Math,T10
2,Thursday,A,9:00am - 11:00am,Art,T13
2,Thursday,A,11:00am - 1:00pm,Language,T14
2,Thursday,A,1:00pm - 3:00pm,PE,T15
2,Thursday,A,3:00pm - 5:00pm,Music,T16
2,Thursday,B,9:00am - 11:00am,PE,T15
2,Thursday,B,11:00am - 1:00pm,Music,T16
2,Thursday,B,1:00pm - 3:00pm,Art,T13
2,Thursday,B,3:00pm - 5:00pm,Language,T14
2,Friday,A,9:00am - 11:00am,English,T9
2,Friday,A,11:00am - 1:00pm,Math,T10
2,Friday,A,1:00pm - 3:00pm,Science,T11
2,Friday,A,3:00pm - 5:00pm,History,T12
2,Friday,B,9:00am - 11:00am,Science,T11
2,Friday,B,11:00am - 1:00pm,History,T12
2,Friday,B,1:00pm - 3:00pm,English,T9
2,Friday,B,3:00pm - 5:00pm,Math,T10
