Grade,Day,Section,Time Slot,Subject,Teacher
1,Monday,A,9:00am - 11:00am,English,T1
1,Monday,A,11:00am - 1:00pm,Math,T2
1,Monday,A,1:00pm - 3:00pm,Science,T3
1,Monday,A,3:00pm - 5:00pm,History,T4
1,Monday,B,9:00am - 11:00am,Science,T3
1,Monday,B,11:00am - 1:00pm,History,T4
1,Monday,B,1:00pm - 3:00pm,English,T1
1,Monday,B,3:00pm - 5:00pm,Math,T2
1,Tuesday,A,9:00am - 11:00am,Art,T5
1,Tuesday,A,11:00am - 1:00pm,Music,T6
1,Tuesday,A,1:00pm - 3:00pm,Language,T7
1,Tuesday,A,3:00pm - 5:00pm,PE,T8
1,Tuesday,B,9:00am - 11:00am,Language,T7
1,Tuesday,B,11:00am - 1:00pm,PE,T8
1,Tuesday,B,1:00pm - 3:00pm,Art,T5
1,Tuesday,B,3:00pm - 5:00pm,Music,T6
1,Wednesday,A,9:00am - 11:00am,English,T1
1,Wednesday,A,11:00am - 1:00pm,Math,T2
1,Wednesday,A,1:00pm - 3:00pm,Science,T3
1,Wednesday,A,3:00pm - 5:00pm,History,T4
1,Wednesday,B,9:00am - 11:00am,Science,T3
1,Wednesday,B,11:00am - 1:00pm,History,T4
1,Wednesday,B,1:00pm - 3:00pm,English,T1
1,Wednesday,B,3:00pm - 5:00pm,Math,T2
1,Thursday,A,9:00am - 11:00am,Art,T5
1,Thursday,A,11:00am - 1:00pm,Music,T6
1,Thursday,A,1:00pm - 3:00pm,Language,T7
1,Thursday,A,3:00pm - 5:00pm,PE,T8
1,Thursday,B,9:00am - 11:00am,Language,T7
1,Thursday,B,11:00am - 1:00pm,PE,T8
1,Thursday,B,1:00pm - 3:00pm,Art,T5
1,Thursday,B,3:00pm - 5:00pm,Music,T6
1,Friday,A,9:00am - 11:00am,English,T1
1,Friday,A,11:00am - 1:00pm,Math,T2
1,Friday,A,1:00pm - 3:00pm,Science,T3
1,Friday,A,3:00pm - 5:00pm,History,T4
1,Friday,B,9:00am - 11:00am,Science,T3
1,Friday,B,11:00am - 1:00pm,History,T4
1,Friday,B,1:00pm - 3:00pm,English,T1
1,Friday,B,3:00pm - 5:00pm,Math,T2
